,start_time,end_time,speaker_label,text
0,21.00131667,21.04,spk_3,"we could maybe come up with a menu, a sort of a,"
1,21.04216667,21.08016667,spk_3,an L CD menu for other functions
2,21.09098333,21.13248333,spk_3,on the remote control that's worth thinking about.
3,21.13915,21.15933333,spk_3,Um And
4,21.16516667,21.21066667,spk_3,maybe we could think about speech recognition as well because
5,21.21581667,21.22465,spk_3,um
6,21.23681667,21.25381667,spk_3,so young people are
7,21.2695,21.33248333,spk_3,"perhaps the ones that a re gonna buy, buy our new product if we aim a tat sort of,"
8,21.3335,21.36381667,spk_3,"you know, sort of a high tech design"
9,21.38515,21.42681667,spk_3,"that, that might be the market that we're, we're looking for."
10,21.45198333,21.50348333,spk_3,And we could maybe think about using speech recognition recognition as
11,21.50365,21.54633333,spk_3,a way to find remote control if it's lost in a room
12,21.55798333,21.58531667,spk_3,rather than sort of um
13,21.59098333,21.60198333,spk_3,having it
14,21.61615,21.6465,spk_3,speech recognition to change the channels.
15,21.659,21.69931667,spk_3,Cause there's a problem with that in that the television makes noise
16,21.69948333,21.75381667,spk_3,so it could end up talking to itself and changing its channels.
17,21.77198333,21.79183333,spk_3,Okay. Um
18,21.79383333,21.81716667,spk_3,And that's the end of the slide show.
19,21.82065,21.82898333,spk_3,That's it
20,21.83248333,21.84081667,spk_3,cool.
21,21.85748333,21.88016667,spk_0,And was that last wee bit there
22,21.89,21.89981667,spk_0,um
23,21.90965,21.93366667,spk_0,about speech recognition?
24,21.93966667,21.95066667,spk_0,Okay. But
25,21.95266667,22.0135,spk_0,#NAME?
26,22.01615,22.06266667,spk_3,"yeah, they s they said that they'd be interested in a remote control,"
27,22.06283333,22.08498333,spk_3,which offered that possibility.
28,22.08515,22.14515,spk_3,"And as you go up through the age groups, people who got less and less interested"
29,22.15016667,22.18048333,spk_3,"in sort of a, a remote control that you can"
30,22.18315,22.1965,spk_3,"talk to. So,"
31,22.22431667,22.22481667,spk_1,um
32,22.24765,22.27665,spk_1,it seems the technology would be quite advanced for that and
33,22.27681667,22.33016667,spk_1,they might end up costing more than a 1250 budget for
34,22.34315,22.34383333,spk_1,speech
35,22.35483333,22.35981667,spk_1,recognition.
36,22.37966667,22.38265,spk_1,Um
37,22.4005,22.45615,spk_1,"And possibly the thing about the by the remote being lost, we could have,"
38,22.46266667,22.49481667,spk_1,"you know, with your mobile phone, you lose that, you can ring it."
39,22.49498333,22.53681667,spk_1,Maybe we can have some kind of sensor which is kept somewhere where you can
40,22.54115,22.56815,spk_1,just kind of buzzer system between the two.
41,22.56831667,22.6175,spk_1,"Yeah, so you can press a button which is always kept in one place and then it uh"
42,22.62015,22.62281667,spk_1,huh.
43,22.6255,22.64081667,spk_1,Maybe it buzzes to
44,22.646,22.68216667,spk_1,"Yeah, somewhere else, wherever the remote actually is."
45,22.68566667,22.74416667,spk_1,"Yeah, we'd have that, that would mean we'd have to put two products together as well,"
46,22.74433333,22.74816667,spk_3,"which,"
47,22.75381667,22.81615,spk_3,"-- which again would probably be a bit expensive but there's
-- key rings"
48,22.81631667,22.85233333,spk_2,um that you kind of whistle a T or clap a T.
49,22.85998333,22.86483333,spk_2,Yeah.
50,22.86666667,22.896,spk_2,"And then the whistle back or something like that,"
51,22.921,22.93098333,spk_2,they're cheap.
52,22.93366667,22.93433333,spk_2,Mmhm
53,23.009,23.01015,spk_1,The
54,23.01266667,23.01466667,spk_1,sa me
55,23.02431667,23.0275,spk_1,technology
56,23.03,23.051,spk_1,"could be put inside the,"
57,23.06015,23.06683333,spk_0,"well, if"
58,23.07448333,23.10965,spk_0,you're trying to avoid having a second product cause
59,23.10981667,23.13715,spk_0,obviously you could have a second product that gave
60,23.13731667,23.19616667,spk_0,"you the right pitch which would set the remote off to say here I am sort of thing,"
61,23.205,23.21966667,spk_0,"you know, without"
62,23.22848333,23.25233333,spk_0,sound recognition. But
63,23.2565,23.27231667,spk_0,"if you,"
64,23.303,23.32566667,spk_0,I know um
65,23.33,23.35148333,spk_0,"I was gonna say a sharp noise,"
66,23.36415,23.38931667,spk_0,clapping of hand or whatever
67,23.43531667,23.48183333,spk_0,you'd want to try and just have the one product that
68,23.484,23.4965,spk_0,"if,"
69,23.53715,23.60348333,spk_1,"yeah, if you, if we could have it in the actual remote, everything in 11."
70,23.62083333,23.65315,spk_0,Um I dunno um
71,23.66733333,23.72316667,spk_0,"talking about vo I mean, obviously if you've got voice recognition,"
72,23.72333333,23.73915,spk_0,then you can do it
73,23.7545,23.81066667,spk_0,"in that way because it will recognise the voice and you can give it a command,"
74,23.81083333,23.84583333,spk_0,"a set command, whatever that happened to be."
75,23.85833333,23.87766667,spk_0,But you've then got the point.
76,23.87783333,23.93166667,spk_0,"If you, if you're not going with the voice recognition, then"
77,23.99548333,24.00398333,spk_1,"perhaps,"
78,24.01015,24.02116667,spk_1,"um,"
79,24.03833333,24.06415,spk_1,"so that would solve the problems with the TV,"
80,24.06431667,24.09331667,spk_1,kinda speaking to the remote and changing itself.
81,24.11998333,24.13865,spk_0,"So, uh"
82,24.17065,24.19098333,spk_0,"any su suggest, well,"
83,24.19383333,24.23833333,spk_0,"-- any conclusions,
-- um would it take"
84,24.24148333,24.27615,spk_3,quite a while to sort of develop this
85,24.27631667,24.32733333,spk_3,speech recognition software in the remote control?
86,24.33715,24.36998333,spk_0,"So if it does, then we can't,"
87,24.37415,24.43031667,spk_0,"it's that simple because we've got uh the, the three"
88,24.44348333,24.49166667,spk_0,primary um uh requisites
89,24.50115,24.51883333,spk_0,from uh
90,24.54016667,24.57983333,spk_0,"from an email, ah, that was sent to me"
91,24.59616667,24.6585,spk_0,whereby we had the design logo was one which we've already mentioned.
92,24.66533333,24.6885,spk_0,"We've got um,"
93,24.69548333,24.73566667,spk_0,"the remote was only for the television and not for,"
94,24.73583333,24.78681667,spk_0,because that would make it too complex and we have to get a market quickly.
95,24.79315,24.86215,spk_0,"And the uh third thing was that, um teletext,"
96,24.86466667,24.94715,spk_0,"uh as far as uh the management is concerned, um, has become outdated"
97,24.95181667,24.98648333,spk_0,uh due to the popularity of the internet.
98,24.99981667,25.01083333,spk_0,So
99,25.0135,25.08881667,spk_0,that means that uh so these a re the sort of three
100,25.1045,25.16116667,spk_0,extra para meters that have been put on this uh project.
101,25.1775,25.1855,spk_0,So
102,25.19065,25.22015,spk_0,we're being focused effectively
103,25.238,25.2655,spk_0,directly A T A television.
104,25.267,25.34281667,spk_0,And it seems to me that the management is uh wanting us to go down a narrow path
105,25.35433333,25.37133333,spk_0,and not
106,25.373,25.41066667,spk_0,opening out. So anything that uh
