speaker_label,start_time,end_time,text
spk_0,0.09331666666666667,0.21165,"Hello, aspiring managers today here at Nebraska Country Club, we are going to demonstrate the D OS and dont of conducting a disciplinary meeting."
spk_1,0.32748333333333335,0.39916666666666667,I dont know why hes not here. I told him 10 oclock. Im hoping hell be here soon.
spk_2,0.4073333333333334,0.41514999999999996,Ok.
spk_0,0.45081666666666664,0.98415,"Ok. Well, I have, uh, this little meeting thing I gotta do. So let me take care of this and Ill get back to you soon. All right. Talk to you later. Oh, sorry about that guys. I was running a little bit late. So, lets see here for a disciplinary meeting. Correct? Um, all right, I understand from this. Uh, so youve been taking some office supplies, is that correct? Oh, well. Oh, youre not gym? Oh,  no, Im
 Jessica."
spk_1,0.98715,1.1408166666666666,"Yeah. Sorry, I should have introduced you, Jessica. This is David from Hr  David. This is Jessica.
 I think I got the wrong paperwork here. Well, um, Dana, can"
spk_0,1.1460000000000001,1.1816666666666669," you,
 yeah, I can take it over. No problem."
spk_1,1.1841666666666666,1.6784833333333333,"Hopefully I have the right paperwork. Um, so anyhow, um, you know why youre here? At least I think so. Um, youve been Tardy a few times which you obviously know that, um, I just have here that you were late like last week, like 10 minutes and then I have you just a few days ago, you being like 10 minutes late again. Um You know, obviously I think that, you know, our policy on what everything is about that.  I dont think I really need to explain it in
 any detail."
spk_2,1.6923333333333335,1.7398166666666666,"Sure. Go ahead, Dana, you get a phone call. Its your mom."
spk_1,1.7403166666666665,1.8906666666666667," Um Please tell her I call her right
 back. Sure thing. Ok. Sorry about that. Ok. Well, oh, you were gonna explain yourself. Go ahead."
spk_3,1.8928166666666668,2.0156666666666667,"Um, I just started taking classes on Mondays and I come right from school to work  and the traffic, its just really hard to get here on
 time. Ok."
spk_1,2.018816666666667,2.242566666666667,"Um, and this is for Mondays, right? Yeah, just Monday. Just Mondays. Ok. Well, I mean, is there anything else that you think that you might be able to plan or down or is there a different day that you might be able to work or something?"
spk_3,2.2434000000000003,2.3035666666666668," Um, why do you work Saturdays instead of Monday?
 Saturdays instead of Mondays?"
spk_1,2.30375,3.1415,"Well, I do have down here on our schedules that Susie is the normal person who works on Saturdays. Um, what you could do, I guess is you could talk to her and see if maybe shed be willing to switch if shes not willing to switch. Um, I mean, I guess well just have to play it by ear if that happens. Um, what I could maybe start doing is on Monday scheduling you a half an hour later. Which, but shed be losing those hours, which probably you dont want. So go and talk to Susy about that first, see what she thinks. And then, um, I guess after that we can just kind of see what happens. Um, and then I did write you up before. I dont, did you know that? No, I didnt know that. Oh, ok. Um, I ga I gave Jim the paperwork thats the paperwork that he doesnt have."
spk_0,3.1574833333333334,3.1906666666666665,"Um, my name is David actually."
