,speaker_label,start_time,end_time,text
0,spk_0,0.0023333333333333335,0.15115,"Israel. Weve seen it before with different a carries the instant locked here though, four T one right out of the gate. Guma has performed so well on this champion."
1,spk_1,0.15131666666666668,0.46416666666666667,"I wonder if youll see something like Tristan here from def. I mean, the ad pool is really pinched at the moment. Theres not that many set up A DS left other than Gin. So hes gonna have to dig deep deft. Isnt that much of an Aels player? We saw his third Draven game all time in this tournament when they were down two nil. Uh, theres the A trucks coming in for King and Z was probably gonna go something like fra"
2,spk_2,0.4711666666666667,0.6178,"the trucks has been a staple of top lane throughout this entire tournament.  I
 think they also have a high priority on this silence that has gone"
3,spk_0,0.61795,0.7327833333333333,"through when you ban out the call for one side here for 41. Also raising that priority  has been a monster
 with it."
4,spk_1,0.73395,0.9503,"Yeah, I think the problem they run into with blinding Silas is theyre going to face against fakers rise. I wonder if faker will blind, pick it regardless. But theres the VGO coming in from graves is still up as well. So I wonder if owner wants to go in that direction.  All
 right,"
5,spk_2,0.9540833333333333,1.3191,"one second part of the draft for him. Lets see what its going to be to accompany that forest. Remember this 80 carry is typically very vulnerable. Normally you want the support to be able to protect, be able to keep him safe. But there it is counter pick into the eight track. The yone locked in for T one. Granata Glass going to be the last champion here in the first half for them."
6,spk_0,1.31925,1.8537166666666667,"The mechanics on this top lane prodigy, get everyone excited for this pick. Meanwhile, Kia has one series entire series for T one with this Renato pick really, really great ultimates coming from him to bring that structure to their team fights and theres the stylist baby. I wanted it for Zecca. He throws it down versus Faker the God and then you can protection ban it here in the next two bands.  Really nice stuff from DRX. See
 the rise minority coming through."
7,spk_1,1.8538999999999999,2.0587,"You think of Azier, you think of Victor as the last two remaining champions of control majors that can go into the silo. But like you said, you know, such a powerhouse pick for Zeus and it was virus that carrier was alongside in that buffle match up to dominate the league."
8,spk_2,2.06185,2.4724999999999997,"Yeah, we got the rise band away the RB out by T one respecting Beryls wide champion pool. Theres the graves band out. Recognizing that T one still has that jungle roll yet to pick. They do not want to deal with the graves there. With that VGO matchup era will be the final band of the draft for one and the  locked in in game one for DRX
 Farrel Heimerdinger"
9,spk_1,2.478816666666667,2.8161666666666667,"shows its face again. Weve seen time and time again that he doesnt need an ash by his side. Weve seen Ezra Heimerdinger come out from DRX. Now, the question is Jungle Pool is slightly pinched here. A little bit too. Four owner said you want and Graves being down Diego being picked away. What is his option for the draft might go for, at least in by the looks of it. A lot of meat champs so can find those kicks."
10,spk_2,2.8333333333333335,2.8531666666666666," Youll love to
 see it."
11,spk_0,2.8533166666666667,3.14365,"The style always possible to come out there with the Lee Sid and Baker. Baker Baker. Whats a good beer comes down again now? Ok. So a Carey here, I think misfortune for de if you go by what has been most played, but do they have something secret?  Thats
 a good question. You think of misfortune"
12,spk_1,3.1456666666666666,3.4781666666666666,"of Jane Callista is up but Calista Heimer doesnt sound the strongest seger. Heer. Maybe not the best up against Az with the long range. So I think something that can either go in or something that can set up. Pushing lane is all the DRX deep here in the both side sever is gonna be the answer a bit short ranged against the Azer, but def confident enough that that champion can get the push and keep the push in the mid game."
13,spk_2,3.4797166666666666,3.7238666666666664,"When youre thinking of push, when youre thinking of 80 carry siver is always the one that first comes to mind for me, especially when you have these solo laner that have the capability of being a side lane threat of being a one V one monster  siver to clear the waves.
 Feels great."
14,spk_1,3.7240333333333333,3.9137,"Do you know whats beautiful about these two cups? Theres no front line. This is all just an Armageddon in team five. If anyone can connect spell spells, there is so much follow up from both sides, especially on T one."
15,spk_2,3.9138666666666664,3.9977500000000004,"The front line is your ability to outplay. Thats it.  Its not the health bar is your
 mechanics,"
16,spk_0,3.9979333333333336,4.296433333333334,"which puts a lot more emphasis on these key big abilities you mentioned as soon as carry are locked in the Renata, thats something that can bring some structure to your team fight. If you get locked up in just a moment of CC, theres so much damage on both of these teams boom, instantly taken down.  So so much is gonna come down to
 execution."
17,spk_1,4.296583333333333,4.54965,"There is a lot of damage and I think both compositions diving into the opposing teams composition just looks really tricky. Right? Renata A here in terms of push back and host style take over the Heri committing to a Hegg receiver seems tough  of the
 current meta of that melee match up with th"
18,spk_0,4.553816666666666,4.576816666666667,with the call taking turns.
19,spk_1,4.583983333333333,4.92115,"Here we go. Then on to sum of his R for game one of the worlds finals. Its been 3000, 318 days since Faker won his first world championship. 1000 and 50 games, 100 and 90 patches. And hes looking for another.  Its
 been a damn long time but theyre back here and ready to go."
20,spk_2,4.9213000000000005,5.0597,"The arena is packed, the players are locked and loaded and T one and DRX are ready for their first conflict."
21,spk_0,5.059866666666666,5.387683333333333,"What an epic finals here. Everyone waiting on the edge of their seats for the greatest organization in the history of League of legends. T one and Baker versus DRX,  the greatest underdog run in the worlds history
 plays to worlds finals."
22,spk_1,5.39085,5.7162500000000005,"Theyve just been scaling throughout the entire tournament death taking down so many of his former teammates, DRX finding ways to topple teams like EDG and now just a very standard level one here. A ward there in the river. The pink place by PIC goes for the normal health ball just gives a little bit of vision to Zecca to make sure hes safe in the early stages."
23,spk_0,5.717066666666667,6.061800000000001,And definitely looking at jugglers both starting bottom sides because the top lane matchup is so volatile. Zeus is one of the few top laner that people have confidence to pick these sort of skill matchups into with that Yoni on the top side and we want to see if or owner will get there first to influence it. It really snowball and damage the m way of control afterwards.
24,spk_2,6.065466666666667,6.428616666666667,"All right, go ahead. Clear out that second. Just go ahead and make sure hes maximizing that exp just going to continue passing towards that top side. I would believe Baker versus Zeca. Theres going to be a lot of conversations about this matchup throughout the entirety of the series. I guarantee it Tri Lane shot showing us the, has that push here in the top lane. Meanwhile bottom side DRX taking early command of the"
25,spk_1,6.438016666666667,6.838016666666666,"definitely is and of course, T one is eight and zero against DRX this year. The Rx havent even taken a single game in the best of threes and every single time in those games, T one have had responses to what the Rx have blind picked. You know, you think back to even in spring round one, they played three De Me in the court. He Becks into a eve going to r so many examples. But Pio is now looking around mid, hes done his three B side tap looking for faker.  He might have to flash the
 stunt"
26,spk_2,6.8458499999999995,7.157716666666667,"Yoshi coming in with spectrum. More faker gets away nicely flashed from that. And as we have a little bit of early action here, remember the prime gaming is giving away 150,000 RP to several lucky fans every single day of this competition and were almost done. So, head on over to prime Gaming World 20 two.com to enter and make sure you put in todays secret code to get those"
27,spk_0,7.161733333333333,7.4024,"inches. I love this early pass from PIC because it doesnt take much of his time at all. I think its a very valuable summer spell owner now, walking over the ward that he left behind really good manipulation of information here. Red Buff is going to be pulled off since they saw him on the ward"
28,spk_1,7.411233333333333,7.617933333333334,"knows that was on the way. Might have to reset the red buff here in K is Soto lane, dont really have any push. So owner is just going to go over to the crux instead kick very aware of that happening. So hes going to try to push him back as well. Doesnt want to give up any of these camp owner wants to keep the pressure. Zeus is first to the"
29,spk_2,7.620433333333334,7.847283333333333,"one nicely done owner faster on the Smite. Yoshis gonna have to walk away. Now, Zus commanding control over the wave crashing into the turret means he can back up his jungler so owner can stick around and secure more of the smaller CRS.  And
 actually it was P"
30,spk_0,7.8511,7.9965,"who used the Smite and owner got it with a little bit of damage there. So now has slight advantage for a little bit over P and hes got a ward on the red.  He could just steal
 this."
31,spk_1,8.000983333333334,8.21765,"That ward is perfect. Hes scared of owner and he will spot him out on the way. Hes going to try to reset it again. You have to imagine no push in mid lane for it in the  looks like youll be able to finish it out of vision. Nicely
 done."
32,spk_2,8.22065,8.469866666666666,"Right back in on the other side of the red to prevent any further patience loss. He doesnt even have to smite it anymore. They see owner on top of the ward, they know hes no longer contesting this, but he is still looking into the just going to back out.  Theres nothing left to fight for you and this
 is the trade off of the mid."
33,spk_1,8.474033333333333,8.829033333333333,"You got a flash. You lost Prus. Not the end of the world did pick up a couple of them and managed to get his red. Now hes going to move down towards his B crab. Second ones coming in. No pressure a lot here for faker in mid as the TB if he needs it, jos has flash to gap close on the faker. Baker might have to be careful in the next couple of minutes.  Not
 a lot of man to work with here on SECA with the Silas. Hes playing nice and safe."
34,spk_2,8.829883333333333,9.032333333333334,"Well see if he can find an angle here. Baker still pretty far back to over to  the star here
 funneled again. P OI"
35,spk_0,9.042166666666667,9.306333333333333,"multiple games returns before the flash gets back up as you said instantly flashes in there for the ST they get their kill and they get the money exactly where they want it. This silent skills so well and can have some kill pressure.  This
 is gonna be a huge problem for"
36,spk_1,9.310833333333333,9.533933333333332,"one in the mid game was forced to flash away the solo lanes going in favor of DRX. Its King and Pio off to a great start. These two players were last place in the LCK last year in summer and  now theyre in the worlds finals and theyre already off to a great
 start."
37,spk_0,9.5341,9.615266666666667,"And I love their story with King in  and Decca as we have it after hit our bottom side
 boys,"
38,spk_2,9.615450000000001,10.014716666666667,"we might not have the time for any story because De is about to drop in bottom lane but he heals through it here. He is owner still chasing after owner wants to land it. Theres a little bit more damage coming up on a flash into the tempest to make it as Deca goes in with a stolen, hell shuffle faker right on back. But owner on the way, so  Zeca cant do more beautiful
 play there from owner and carrier"
39,spk_0,10.016883333333334,10.195733333333333,"chasing down on bottom side and because they get De down, they get supremacy over the river knowing that Zeca cannot chase Baker any further into it. What an explosive start"
40,spk_1,10.203383333333333,10.437666666666667,"barrel just gonna help Seca get a little bit of vision around mid there did get the first base off as Cara was looking to that, a lot of Sumner is blown across the board. Zeca ideally wants to crash his wave in. Doesnt have the flash and faker has to shuffle, needs to respect it and back away a lot of early action."
41,spk_2,10.443516666666666,10.688350000000002,"Yeah, Bakers still having that shuffle because remember he was level five when DEA engaged on him with a stolen alti. Lets now take another look at what happened. Bottom Kia nicely done there using E to pop the shield.  But for the
 handshake gets the shield off and then pulls depth back in."
