,speaker_label,start_time,end_time,text
0,spk_0,0.00015,2.710166666666667,"I guess Ill start with my presentation. We had two groups of people working on this. So well show you two slightly different presentations. Feel free to ask any questions or comments. Obviously, um The first one was done by myself, Bruno Marianne and Nikos. And the rationale that we have, Ill show you the layout in a second was that full professors would get private offices. Administration is close to the professors offices. So its easier for the secretary to speak to everyone. The fax is in the administration office since its mostly used by Gisela, whos the secretary for noise reduction purposes. Weve moved everyone who has office hours together and weve also put the network printer and the photocopier in the hall. Um So Ill just show you how that works. Basically, you can see Gisella sort of there in the middle with the fax machine. And Maggie and Susan, who a re the two full professors and our department have the private offices and the photocopier and the printer, a re sort of in the hall on the side there across from the mailboxes. Um Just to go back, most people a re grouped in projects and we have 2 50% people who a re half time in Geneva, half time A T, the Epflin Lausanne and they, then weve put in three person offices so that in the three person offices, its not constantly three people. So theres a little bit of give there and the reading room or the lounge as some people call it that we have is in a central position. So basically, weve got Andre and Nancy A T the top. Um, they dont act, they will be starting a new project together if, um, if Im not mistaken, like I said, Susan and Maggie in the individual offices, Nikos and Yalina who work on the SA me project A T the bottom, the reading room is in the middle. Um Marianne and Bruno A reat the bottom. Um, as well. Marianne works closely with Pierre and the other Marianne. We have two Marianne in our department and David is a half time. So as I said, the half times are in the three person offices. And on the other side, we have Maria Martin and myself who all work on the same project and Martin is 50%. Um Gisela, weve given her a two person office for two reasons. One is because theres a spare place there. So if we want to put a tie or someone who just comes in for a short period of time, we figured it was okay if they were in the admin office, which is a little bit noisy because theyre only there for a short period of time. Um, and again, the proximity to the other offices. Um, so I guess thats pretty much it for our proposal. Um, I dont know if you want Andre to go through his first or if you have any questions for me."
1,spk_1,2.720666666666667,2.8425,"So you said so Pierre is a professor, but shes only, shes only 50% time. Is that why"
2,spk_0,2.8704833333333335,2.9113166666666666,"its, do you wanna explain how"
3,spk_2,2.9261666666666666,2.96,Martin is? 50% Martin
4,spk_0,2.9625,3.054316666666667,"is 50% pure? Theres two sort of statutes  of professor, I guess you could say,
 well,"
5,spk_2,3.05665,3.16315,"because you would say that shes an assistant professor or something like that. But um yeah,"
6,spk_0,3.185,3.199,"and the,"
7,spk_2,3.2133333333333334,3.5813333333333333,"yeah, they a re full professors and assistant professors if you want. And yeah, its true that shes an assistant professor. But uh, well, we see maybe we can move a little bit around just to give her uh, well, also a t least, maybe not a uh an office alone but a t least with just one person, not two.  But the
 idea is Maggie and Susan, a re sort of the senior"
8,spk_0,3.5988166666666666,3.688483333333333,"um professors on staff. So they got the, the individual offices"
9,spk_1,3.74815,3.9558333333333335,"and what, whats happening, what do you foresee happening in the next couple of years? Like beyond this, beyond this current group of people, do we, do we know of any changes coming?  Is the department growing
 or"
