,speaker_label,start_time,end_time,text
0,spk_0,0.026333333333333334,0.25866666666666666,"OK, so now that weve all had a bit of time to think about it. Um Does anyone have any concrete proposals or do we want to just go through people and start placing them and kind of discuss as we go along?"
1,spk_1,0.36214999999999997,0.402,I dont think there a re concrete proposals
2,spk_2,0.43048333333333333,1.0823333333333334,"but no, its kind of we should maybe find a method to do stuff like I dont know, choose one para meter, the first para meter to choose people to choose where to put people like I dunno, maybe permanent staff and non permanent stuff. We know that professor will stay for a long time. We a re we dont know for the other. Yeah, thats true. Maybe that could be the first para meter to take into account. Not just to,  yeah, give them like the
 most comfortable offices and"
3,spk_0,1.0851666666666666,1.1221666666666668," yeah
 and have this discussion every two years."
4,spk_2,1.1413333333333333,1.4238333333333333,"Yeah, because its do you know? Yeah, this makes sense. That makes sense for everyone. So we can choose where to put. Uh I would say the the the three  first one of the
 list. Yeah, cause Martins a professor but hes only here half time."
5,spk_0,1.424,1.5358333333333332,"So its sort of a different situation. Hes a professor at the PFL, but not in Geneva. He just does research in Geneva"
6,spk_2,1.5471666666666666,1.6393333333333333,"and maybe the two other senior Andre and Nancy. Okay. So, lets"
7,spk_0,1.6573333333333333,1.6844833333333333,go through that first.
8,spk_3,1.7041666666666666,1.9311666666666665,"Um, so what do you think for, uh, Susan and Maggie, for example, the, the rooms for one person?"
9,spk_2,1.9561666666666666,2.05165,"Yeah,  for
 Susan probably acting. She prefers to have her own office."
10,spk_0,2.0693333333333332,2.1159833333333333,"Um, okay. Any preference as to which one?"
11,spk_3,2.1310000000000002,2.1439833333333334,Not really.
12,spk_0,2.2041666666666666,2.2805,"Well put Susan here for now. They can switch and then Maggie and the other one. Yeah. Yeah,"
13,spk_1,2.283166666666667,2.4058333333333333,"its up to them, I guess. Yeah. No, its up to, up to u si mean, they, they can switch, they can switch later."
14,spk_0,2.4353166666666666,2.570333333333333,"Um, ok. And then"
15,spk_1,2.583666666666667,2.6026666666666665,play right next.
16,spk_2,2.6256500000000003,2.8545,"So we need to put Pierre Andre and Nancy. Do we want to, the, the question is now, is, do we want to put the three together or the three completely separate with other people?"
17,spk_3,2.875983333333333,2.937333333333333,"Um, I would say not together. Inp"
18,spk_0,2.9458333333333333,3.01765,"has students and Andre and Nancy dont, well, does Andre."
19,spk_2,3.06165,3.18115,"Yeah, but few less than pure. So we have"
20,spk_0,3.2245,3.3204833333333332,because also if were going to put people together by projects and theres no sense to put them together because they all work on different projects.
21,spk_2,3.35065,3.61115,"I know. Um, I just realised something, the two people room in the middle which has only one windows, its gonna be pretty hard to put two people inside that room"
22,spk_0,3.624833333333333,3.646166666666667,because theyll fight for the window.
23,spk_3,3.66765,3.68665,Its quite dark.
24,spk_0,3.6975,3.8451666666666666,"What about moving Gisela in there? If shes in there half the time she can have her desk near the window and, ok, shes not near the mailbox but,"
25,spk_2,3.85665,3.87965,"and near the photocopy,"
26,spk_0,3.883166666666667,3.97565,but it may be more sort of practical in terms of working environments for people. Yeah.
27,spk_3,3.9858166666666666,4.00565,"Yeah, it would be nicer."
28,spk_2,4.04315,4.06815,And what about the reading room?
29,spk_0,4.118333333333333,4.153816666666667," But again, one of the reasons for putting the reading or more,
 I, I"
30,spk_2,4.171666666666667,4.706833333333333,"you, I mean uh I think everybody is supposed to spend more time in the office than in the reading room. So we might think that its better to have a more comfortable office than a more comfortable reading room. I dont know, it changed the plan of the morning. Im sorry, but I just realise that stupid architect put on the one windows who built this building. Do we know that? I dont know. I dunno, do you think?  I
 dunno, we spent"
31,spk_1,4.7125,4.765666666666666,quite some time a t the last meeting and to decide this
32,spk_2,4.791666666666667,4.892833333333334,"just took attention a t this one windows problem and I think it is one problem,"
33,spk_1,4.897,4.971316666666667,"of course, but everybody had the documents before so you could have studied them. I"
34,spk_2,4.985666666666667,5.0825,say the sa me to you. What if we put the two people that a re 50% in that room
35,spk_0,5.089483333333333,5.1178333333333335," in the,
 the two A PFL people"
36,spk_2,5.13165,5.202483333333333,"thats really welcoming and warming,  but theyre
 only here 50%."
37,spk_3,5.2086500000000004,5.26815,"Well, lets uh how we can uh fill the three person rooms."
38,spk_2,5.310816666666667,5.328166666666666,"What, what, what, uh,"
39,spk_3,5.341483333333334,5.491983333333334,"how we can, who we gonna put in the three person rooms. I mean, we have now, uh, 23 person rooms left. And, um,"
40,spk_2,5.539666666666667,5.762166666666666,"no, no, but the main problem, we have the sa me number of places and the sa me number of people now. So everyone has to go somewhere. Yeah. And, uh, I just noticed that we have these two people room, we"
41,spk_0,5.768483333333333,5.8353166666666665,"have one  room with two windows. I
 dont mind going into this office"
42,spk_2,5.844833333333334,6.2125,"you dont mind to have. Okay. So Nikos and you have to sign. Yeah, you have to find somebody agree to come with you and its not a question of you. Its a question of windows. Who would you put with you? Lets put a 50%. So,"
43,spk_1,6.21815,6.2375,"oh, why not?"
44,spk_2,6.2585,6.290666666666667,Okay? From the?
45,spk_0,6.300166666666667,6.319333333333334,OK. So thats in there.
46,spk_2,6.34465,6.405983333333333,"Yeah. Do you not have it? No,  you will learn to know
 it. Youll meet him."
47,spk_0,6.442483333333334,6.6684833333333335,OK. So Im just gonna make a list on here of who we have and keep talking.
48,spk_2,6.674316666666667,6.834316666666666,So David and Nichols its done. And so where were we? Uh and Nancy Andre and Nancy
49,spk_1,6.918833333333334,6.996,maybe we can put pet and her T 22 phd students into one room.
50,spk_3,7.03215,7.0465,Yeah. Why not?
51,spk_2,7.063316666666666,7.098816666666667,How many phd students did you have
52,spk_3,7.111666666666666,7.135666666666666,all two Marians or?
53,spk_2,7.164166666666667,7.377833333333333,"And me? And you can say, OK, so Im doing a phd officially. Um"
54,spk_0,7.450816666666666,7.6625,"OK, so David Nikos, Gisela Maggie and Susan are done. Ok."
55,spk_2,7.677333333333333,7.953833333333334,"So, and could you put the, the map again? So we, so what happened? Um, thats, that might be a good idea to put your head with two phd students.  Okay. Whoever they A R
 E, should we be nice and give them three windows."
56,spk_1,7.953983333333333,8.108333333333333,"Um, yeah, may, maybe the other one would be more convenient if we a re all working on the SA ME project. So were close by. Okay."
57,spk_2,8.118333333333334,8.229483333333333,"Ok. Oops, Supply it. And the two Mariannes"
58,spk_0,8.236316666666667,8.263983333333334,that wont get confusing.
59,spk_3,8.29315,8.348,"Yeah, Id like to have a view to the mountains, but, well,"
